!SIL	SIL
<UNK>	SPN
<laughter>	LAU
<music>	MUS
:	: 
:a	: a 
:a@@	: a 
:kva	: k v a 
:o	: o 
:pra@@	: p r a 
:qu@@	: q u 
:tA@@	: t A 
:ऽDo@@	: ऽ D o 
A	A 
A@@	A 
AB@@	A B 
AD@@	A D 
AG@@	A G 
AH	A H 
AK@@	A K 
AM@@	A M 
AMS@@	A M S 
AN	A N 
AN@@	A N 
ANG@@	A N G 
ANg@@	A N g 
ANk@@	A N k 
ANp@@	A N p 
ANt@@	A N t 
ANv@@	A N v 
AQ@@	A Q 
AR@@	A R 
ARs@@	A R s 
AS@@	A S 
ASc@@	A S c 
ASr@@	A S r 
ASv	A S v 
AY@@	A Y 
Ab@@	A b 
Ac	A c 
Ac@@	A c 
Ad	A d 
Ad@@	A d 
Adg@@	A d g 
Adv@@	A d v 
Ady	A d y 
Ag@@	A g 
Agn@@	A g n 
Ah	A h 
Ah@@	A h 
Aj@@	A j 
Ak	A k 
Ak@@	A k 
Akz@@	A k z 
Al	A l 
Al@@	A l 
All@@	A l l 
Alm@@	A l m 
Alt	A l t 
Am	A m 
Am@@	A m 
Amp@@	A m p 
An	A n 
An@@	A n 
AnD@@	A n D 
And	A n d 
And@@	A n d 
Ant@@	A n t 
Ap	A p 
Ap@@	A p 
Apj@@	A p j 
App	A p p 
Apt@@	A p t 
Apzz	A p z z 
Aq	A q 
Aq@@	A q 
Ar	A r 
Ar@@	A r 
ArD@@	A r D 
ArG@@	A r G 
ArS@@	A r S 
ArT@@	A r T 
Arc@@	A r c 
Ard@@	A r d 
Ark@@	A r k 
Arkz@@	A r k z 
Art@@	A r t 
Artt@@	A r t t 
Ary@@	A r y 
Arz@@	A r z 
As@@	A s 
Ask@@	A s k 
Asm@@	A s m 
Ass@@	A s s 
Ast@@	A s t 
Aszz	A s z z 
At	A t 
At@@	A t 
Atk@@	A t k 
Atm@@	A t m 
Ats@@	A t s 
Att@@	A t t 
Av	A v 
Av@@	A v 
Avnnn	A v n n n 
Aw	A w 
Aw@@	A w 
Ay	A y 
Ay@@	A y 
Ayz@@	A y z 
Az	A z 
Az@@	A z 
Azw@@	A z w 
BA	B A 
BA@@	B A 
BAB@@	B A B 
BAD@@	B A D 
BAG@@	B A G 
BAH	B A H 
BAH@@	B A H 
BAK@@	B A K 
BAM@@	B A M 
BAMS@@	B A M S 
BAMl@@	B A M l 
BAMr@@	B A M r 
BAMs@@	B A M s 
BAMst@@	B A M s t 
BAMv@@	B A M v 
BAN@@	B A N 
BANk@@	B A N k 
BAQ@@	B A Q 
BAR@@	B A R 
BARs@@	B A R s 
BAS@@	B A S 
BAY@@	B A Y 
BAYj@@	B A Y j 
BAb@@	B A b 
BAc@@	B A c 
BAcC@@	B A c C 
BAd	B A d 
BAd@@	B A d 
BAdB@@	B A d B 
